"Imigranti dupa nationalitate, 1993-2018"
"Nationalitatea imigrantilor;""1993"";""1994"";""1995"";""1996"";""1997"";""1998"";""1999"";""2000"";""2001"";""2002"";""2003"";""2004"";""2005"";""2006"";""2007"";""2008"";""2009"";""2010"";""2011"";""2012"";""2013"";""2014"";""2015"";""2016"";""2017"";""2018"""
Total nationalitati;1769;1543;1477;1786;1624;1558;1517;1321;1293;1297;1620;1706;2056;1968;2070;2749;2010;2512;2704;3093;3349;4187;4209;4080;3708;4223
Abhazian;1;1;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;1;-;-;-;5;-;-
Afgan;12;9;5;5;2;1;3;2;-;1;1;-;3;1;-;-;1;-;-;1;-;1;1;-;2;-
African;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;3;3
Albanez;1;1;-;-;-;-;2;2;2;2;4;1;3;5;2;2;2;-;4;5;7;11;6;-;1;4
Algerian;1;-;1;1;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;1;2;1
American;26;36;30;55;45;66;61;46;53;70;87;82;104;104;80;43;32;50;67;163;77;128;197;181;190;191
Angolez;15;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-
Arab;445;331;262;397;380;387;444;467;446;423;366;359;277;129;91;186;274;506;407;422;473;497;549;563;429;443
Argentinian;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;1;-;1;1
Armean;34;38;30;22;22;16;8;19;16;14;17;28;38;39;33;39;41;41;26;31;25;35;29;33;32;34
Asirian;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Australian;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;6;2;4;12
Austriac;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;11;18;11;17;6;11;14
Avar;2;-;-;1;-;-;-;-;-;1;-;-;1;-;-;1;-;1;-;-;-;1;1;-;1;-
Azerbaidjan;12;12;23;18;10;10;11;8;14;13;35;29;41;66;98;72;41;33;41;33;34;41;66;63;85;175
Banglades;5;-;2;3;1;1;1;1;-;10;-;-;1;1;-;-;1;-;12;9;-;-;-;-;2;11
Baskir;3;1;3;1;-;-;-;-;-;1;2;1;-;1;3;-;3;1;-;-;-;-;-;-;-;-
Belgian;-;-;1;1;1;1;3;1;1;2;6;4;6;3;1;4;9;3;10;9;1;5;4;8;7;8
Beliz;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
Bengalez;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1
Benin;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-
Belarus;31;27;24;16;16;10;11;2;9;4;5;10;11;28;25;34;14;22;30;17;41;32;47;34;29;39
Bolivian;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-
Bosniac;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;2;1
Brazilian;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;3;17;10;10;19;14;13
Bulgar;28;26;32;25;40;18;84;70;48;51;106;76;93;85;58;58;36;54;21;23;17;35;27;22;22;24
Burkinaben;2;5;-;1;-;-;1;1;-;-;-;-;1;2;-;-;-;-;2;1;-;-;-;1;-;2
Burundi;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cabardin;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cabo Verde;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Camerunez;3;2;-;-;5;-;1;1;-;-;-;-;-;3;-;1;3;8;16;4;-;1;1;1;10;4
Canadian;-;-;2;1;-;-;1;-;3;2;-;1;1;2;3;3;1;-;4;4;2;3;4;3;3;5
Carel;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cecen;-;1;1;5;2;3;-;1;1;-;1;1;1;3;2;2;3;7;4;4;2;1;1;3;-;-
Ceh;-;-;-;1;-;-;-;-;2;-;10;9;4;1;-;2;1;4;8;4;9;10;3;15;9;8
Chinez;12;4;4;11;13;14;17;18;24;23;8;13;14;23;14;16;10;24;22;24;39;30;20;23;26;27
Chilean;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-
Cipriot;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;4;9;6;3;4;7
Ciuvas;8;6;3;-;2;1;1;1;-;-;-;-;2;2;1;1;1;1;-;-;-;-;1;1;-;1
Columbian;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;-;-
Comi-Permeac;-;-;1;1;1;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-
Coreean;-;3;4;6;9;3;1;7;2;1;4;-;6;4;5;11;4;7;11;4;9;14;10;10;17;17
