"Imigranti dupa tara de emigrare si scopul sosirii , 1993-2010"
"Tara de emigrare;""1993 Total"";""1993 La munca"";""1993 La studii"";""1993 Imigratie de familie"";""1994 Total"";""1994 La munca"";""1994 La studii"";""1994 Imigratie de familie"";""1995 Total"";""1995 La munca"";""1995 La studii"";""1995 Imigratie de familie"";""1996 Total"";""1996 La munca"";""1996 La studii"";""1996 Imigratie de familie"";""1997 Total"";""1997 La munca"";""1997 La studii"";""1997 Imigratie de familie"";""1998 Total"";""1998 La munca"";""1998 La studii"";""1998 Imigratie de familie"";""1999 Total"";""1999 La munca"";""1999 La studii"";""1999 Imigratie de familie"";""2000 Total"";""2000 La munca"";""2000 La studii"";""2000 Imigratie de familie"";""2001 Total"";""2001 La munca"";""2001 La studii"";""2001 Imigratie de familie"";""2002 Total"";""2002 La munca"";""2002 La studii"";""2002 Imigratie de familie"";""2003 Total"";""2003 La munca"";""2003 La studii"";""2003 Imigratie de familie"";""2004 Total"";""2004 La munca"";""2004 La studii"";""2004 Imigratie de familie"";""2005 Total"";""2005 La munca"";""2005 La studii"";""2005 Imigratie de familie"";""2006 Total"";""2006 La munca"";""2006 La studii"";""2006 Imigratie de familie"";""2007 Total"";""2007 La munca"";""2007 La studii"";""2007 Imigratie de familie"";""2008 Total"";""2008 La munca"";""2008 La studii"";""2008 Imigratie de familie"";""2009 Total"";""2009 La munca"";""2009 La studii"";""2009 Imigratie de familie"";""2010 Total"";""2010 La munca"";""2010 La studii"";""2010 Imigratie de familie"""
Tara de emigrare-total;1769;84;637;1048;1543;109;513;921;1477;98;381;998;1786;121;767;898;1624;126;745;753;1558;188;866;504;1517;327;824;366;1321;291;740;290;1293;291;679;323;1297;364;620;313;1620;505;686;429;1706;540;615;551;2056;731;672;653;1968;828;445;695;2070;1002;221;847;2749;1136;513;1100;2010;590;514;906;2512;813;794;905
Afganistan;15;-;-;-;12;-;-;-;6;-;-;-;6;-;-;-;4;-;-;-;2;-;-;-;4;-;-;4;2;-;-;2;1;-;-;1;1;1;-;-;1;-;-;1;-;-;-;-;3;1;-;2;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-
Africa de Sud;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;3;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Albania;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;1;1;-;-;1;2;1;-;1;4;2;1;1;1;-;-;1;3;2;-;1;5;3;-;2;2;-;-;2;1;-;-;1;1;1;-;-;-;-;-;-
Algeria;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Anglia;2;-;-;-;6;-;-;-;3;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Angola;15;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Arabia Saudita;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;3;-;2;1;3;-;3;-;5;-;5;-;4;-;4;-;4;-;4;-;14;1;12;1;3;2;1;-;-;-;-;-;2;-;2;-;-;-;-;-;2;1;-;1
Argentina;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;2;2;-;-;2;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;2;2;-;-;1;1;-;-;1;-;-;1;2;2;-;-
Armenia;24;-;-;-;33;-;-;-;19;-;-;-;15;-;-;-;11;-;-;-;5;-;-;-;4;1;-;3;17;3;-;14;16;5;1;10;11;5;1;5;14;4;2;8;24;7;-;17;33;6;4;23;35;11;1;23;27;4;-;23;29;4;2;23;33;8;3;22;35;10;6;19
Australia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;1;1;1;-;-;2;-;-;2;3;2;-;1;1;-;-;1;1;-;-;1;3;2;-;1;5;5;-;-;3;-;-;3
Austria;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;2;-;1;2;2;-;-;6;5;1;-;11;8;3;-;11;7;2;2;15;10;5;-
Azerbaidjan;21;-;-;-;14;-;-;-;21;-;-;-;12;-;-;-;8;-;-;-;9;-;-;-;11;2;1;8;6;3;-;3;13;2;-;11;12;5;3;4;35;14;9;12;27;4;1;22;42;17;5;20;65;29;2;34;93;59;1;33;72;29;7;36;41;8;3;30;33;9;8;16
Bahrain;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bangladesh;5;-;-;-;1;-;-;-;2;-;-;-;3;-;-;-;1;-;-;-;2;-;-;-;1;-;-;1;2;-;-;2;-;-;-;-;11;1;10;-;3;1;2;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-
Belarus;24;-;-;-;23;-;-;-;22;-;-;-;10;-;-;-;6;-;-;-;5;-;-;-;8;-;1;7;4;-;-;4;10;2;2;6;7;2;1;4;5;4;-;1;13;1;5;7;16;10;1;5;31;6;4;21;27;2;5;20;36;9;4;23;16;5;1;10;24;6;1;17
Belgia;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;3;2;-;1;2;2;-;-;3;1;1;1;2;2;-;-;7;5;1;1;5;5;-;-;5;3;-;2;4;1;-;3;1;-;-;1;5;3;-;2;9;1;7;1;3;2;1;-
Beliz;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Benin;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
