"Imigranti dupa tara de emigrare si scopul sosirii , 2011-2018",,,,,,,,
,,,,,,,,
"Tara de emigrare;""2011 Total"";""2011 La munca"";""2011 La studii"";""2011 Imigratie de familie"";""2011 Activitati religioase"," umanitare si de voluntariat"";""2011 Alte cauze/ motive"";""2012 Total"";""2012 La munca"";""2012 La studii"";""2012 Imigratie de familie"";""2012 Activitati religioase"," umanitare si de voluntariat"";""2012 Alte cauze/ motive"";""2013 Total"";""2013 La munca"";""2013 La studii"";""2013 Imigratie de familie"";""2013 Activitati religioase"," umanitare si de voluntariat"";""2013 Alte cauze/ motive"";""2014 Total"";""2014 La munca"";""2014 La studii"";""2014 Imigratie de familie"";""2014 Activitati religioase"," umanitare si de voluntariat"";""2014 Alte cauze/ motive"";""2015 Total"";""2015 La munca"";""2015 La studii"";""2015 Imigratie de familie"";""2015 Activitati religioase"," umanitare si de voluntariat"";""2015 Alte cauze/ motive"";""2016 Total"";""2016 La munca"";""2016 La studii"";""2016 Imigratie de familie"";""2016 Activitati religioase"," umanitare si de voluntariat"";""2016 Alte cauze/ motive"";""2017 Total"";""2017 La munca"";""2017 La studii"";""2017 Imigratie de familie"";""2017 Activitati religioase"," umanitare si de voluntariat"";""2017 Alte cauze/ motive"";""2018 Total"";""2018 La munca"";""2018 La studii"";""2018 Imigratie de familie"";""2018 Activitati religioase"," umanitare si de voluntariat"";""2018 Alte cauze/ motive"""
Tara de emigrare-total;2704;865;720;854;251;14;3093;955;614;1054;149;321;3349;1062;708;1073;159;347;4187;1359;928;1242;201;457;4209;1201;818;1442;282;466;4080;1052;869;1442;218;499;3708;829;716;1437;244;482;4223;899;805;1580;243;696,,,,,,,,
Afganistan;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-,,,,,,,,
Africa de Sud;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;4;2;-;2;-;-;3;-;-;-;-;3,,,,,,,,
Albania;4;3;1;-;-;-;5;1;1;3;-;-;8;5;-;2;1;-;9;7;-;2;-;-;6;4;-;2;-;-;6;2;-;2;-;2;1;-;-;1;-;-;4;2;-;2;-;-,,,,,,,,
Algeria;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;1;-;-;1;-;-;2;-;-;1;1;-;1;-;-;1;-;-;3;-;-;3;-;-;1;-;-;1;-;-,,,,,,,,
Anglia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Angola;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Arabia Saudita;3;2;1;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Argentina;2;1;-;1;-;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Armenia;21;10;1;10;-;-;29;7;-;12;1;9;21;2;-;17;-;2;29;3;-;24;-;2;29;4;-;22;1;2;33;5;-;24;-;4;32;4;1;20;4;3;31;4;-;23;1;3,,,,,,,,
Australia;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;1;-;1;2;-;-;1;1;-;5;-;-;-;4;1;2;1;-;-;1;-;4;-;-;-;2;2;11;1;1;3;6;-,,,,,,,,
Austria;14;6;1;1;6;-;13;7;-;2;2;2;21;5;-;-;7;9;15;4;-;1;8;2;18;2;-;3;12;1;10;5;-;2;1;2;12;4;-;1;4;3;15;2;-;1;3;9,,,,,,,,
Azerbaidjan;43;14;10;19;-;-;30;5;11;11;-;3;33;10;10;13;-;-;37;14;8;13;-;2;65;38;7;20;-;-;61;35;9;15;1;1;80;44;11;23;1;1;171;67;14;39;-;51,,,,,,,,
Bahrain;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-,,,,,,,,
Bangladesh;14;-;14;-;-;-;18;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;2;-;-;2;-;-;12;11;-;1;-;-,,,,,,,,
Belarus;27;7;3;16;1;-;17;2;-;14;-;1;39;26;-;12;-;1;33;8;2;21;-;2;45;11;1;30;-;3;36;7;-;26;-;3;27;4;-;22;-;1;42;4;-;33;-;5,,,,,,,,
Belgia;12;7;-;1;4;-;10;1;-;-;5;4;1;-;-;1;-;-;6;2;-;-;1;3;6;2;-;1;1;2;7;2;-;3;2;-;7;2;-;-;4;1;7;2;-;4;-;1,,,,,,,,
Beliz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Benin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Bolivia;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Bosnia-Hertegovina;1;1;-;-;-;-;2;-;-;1;-;1;4;1;-;1;-;2;1;1;-;-;-;-;2;1;-;-;-;1;1;1;-;-;-;-;2;1;-;1;-;-;1;1;-;-;-;-,,,,,,,,
Botswana;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Brazilia;13;9;-;2;2;-;3;2;-;-;-;1;19;12;-;3;4;-;12;7;-;5;-;-;9;5;-;2;2;-;19;15;-;-;4;-;15;8;-;1;6;-;13;11;-;-;2;-,,,,,,,,
Bulgaria;21;17;-;2;-;2;25;15;-;5;-;5;18;12;1;3;-;2;37;21;1;7;1;7;23;14;-;4;-;5;19;14;-;5;-;-;15;6;2;3;-;4;17;8;-;3;-;6,,,,,,,,
Burkina Faso;2;-;-;1;-;1;1;1;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;4;4;-;-;-;-,,,,,,,,
Burundi;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Cabo Verde;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Camboja;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Camerun;18;3;14;-;1;-;10;3;6;1;-;-;2;2;-;-;-;-;1;1;-;-;-;-;4;2;-;2;-;-;2;-;1;1;-;-;11;11;-;-;-;-;6;3;1;2;-;-,,,,,,,,
Canada;3;1;-;1;1;-;7;2;-;1;-;4;2;-;-;1;1;-;7;2;-;2;1;2;4;2;-;1;1;-;6;-;1;1;3;1;5;2;1;1;-;1;5;2;1;1;-;1,,,,,,,,
